dimension,trial,size,steps
50,0,13,273
50,1,13,180
50,2,13,176
50,3,14,225
50,4,14,156
100,0,23,291
100,1,24,322
100,2,25,330
100,3,23,278
100,4,23,215
150,0,33,232
150,1,33,304
150,2,33,215
150,3,34,284
150,4,31,191
200,0,47,317
200,1,55,592
200,2,51,412
200,3,46,377
200,4,50,394
250,0,68,467
250,1,68,712
250,2,67,486
250,3,65,343
250,4,68,435
300,0,99,828
300,1,93,485
300,2,100,959
300,3,91,441
300,4,106,1190
350,0,137,1231
350,1,138,1157
350,2,133,1119
350,3,133,958
350,4,122,576
400,0,181,1000
400,1,177,1052
400,2,177,1140
400,3,187,1247
400,4,177,915
450,0,251,1950
450,1,232,1082
450,2,249,1891
450,3,244,1397
450,4,246,1531
500,0,321,1683
500,1,316,1729
500,2,318,1542
500,3,328,1914
500,4,309,1516
550,0,415,1902
550,1,443,2857
550,2,428,2345
550,3,459,3666
550,4,433,2908
600,0,553,2486
600,1,557,2593
600,2,567,2630
600,3,556,2612
600,4,546,2020
650,0,760,3711
650,1,777,4614
650,2,730,3363
650,3,745,3480
650,4,692,2269
700,0,993,4675
700,1,995,4646
700,2,975,4094
700,3,944,3387
700,4,974,3810
750,0,1228,3653
750,1,1212,3773
750,2,1287,4977
750,3,1239,4075
750,4,1234,4043
800,0,1696,6346
800,1,1591,4496
800,2,1652,5562
800,3,1688,6532
800,4,1710,7083
850,0,2263,9516
850,1,2297,10582
850,2,2237,9235
850,3,2233,8927
850,4,2267,10083
900,0,2947,11518
900,1,2967,11638
900,2,2826,9055
900,3,2922,11119
900,4,2744,7586
950,0,3607,9802
950,1,3758,12952
950,2,3907,15364
950,3,3787,13183
950,4,3646,10606
1000,0,5108,21075
1000,1,5013,17811
1000,2,4951,17047
1000,3,5130,20860
1000,4,4906,15736
